square_contain_id	geometry
351342.0	POINT (3378484.701409353 8362662.971378628)
107953.0	POINT (3372991.314892127 8400827.407863114)
211200.0	POINT (3378346.34860361 8384679.207903069)
113687.0	POINT (3373099.175819925 8400004.227562292)
186388.0	POINT (3381410.161497206 8388559.243665753)
216312.0	POINT (3379946.27281219 8383915.007452329)
154470.0	POINT (3374648.470966745 8393552.459895099)
352795.0	POINT (3396384.46983616 8362430.719092715)
323990.0	POINT (3382404.568022167 8366985.667621478)
232260.0	POINT (3382226.273193133 8381393.033803689)
91332.0	POINT (3367098.267346812 8403474.807865281)
300373.0	POINT (3377635.952141163 8370676.325938329)
218764.0	POINT (3370321.272088225 8383429.097257046)
211850.0	POINT (3379618.921830638 8384614.4656816)
161478.0	POINT (3374721.607872196 8392450.06976776)
215654.0	POINT (3377858.724494632 8383973.11371343)
307526.0	POINT (3392194.315147108 8369596.420373732)
228378.0	POINT (3376213.289048826 8381923.836870883)
216295.0	POINT (3378176.964866419 8383834.155852677)
223301.0	POINT (3378158.040552984 8382732.330054603)
286333.0	POINT (3375056.061092921 8372892.684943005)
113160.0	POINT (3384126.99164932 8400098.573800461)
60246.0	POINT (3379782.282470932 8408340.657498425)
239404.0	POINT (3395937.126684925 8380232.416732661)
300980.0	POINT (3374603.609211955 8370592.056571417)
170370.0	POINT (3372093.107320394 8391072.437587105)
151287.0	POINT (3374812.900986596 8394028.433785969)
219445.0	POINT (3374754.151279301 8383342.72803918)
212487.0	POINT (3379607.197684132 8384507.772431034)
206067.0	POINT (3374602.496017047 8385502.75809417)
241778.0	POINT (3378528.593493455 8379906.066444811)
235398.0	POINT (3377564.707667057 8380911.124376264)
151931.0	POINT (3375550.780483603 8394005.781016357)
183810.0	POINT (3378434.298426347 8388968.184694657)
236862.0	POINT (3396527.255628929 8380629.6111537)
181881.0	POINT (3376581.756563351 8389272.390254984)
127543.0	POINT (3357362.446477893 8397756.669382937)
306104.0	POINT (3377465.872122821 8369791.276575947)
114960.0	POINT (3373009.786558249 8399721.519748831)
222070.0	POINT (3382441.490871623 8382918.79458353)
267371.0	POINT (3389843.181199666 8375817.653739479)
208641.0	POINT (3377188.556836748 8385106.173037443)
261607.0	POINT (3386728.528149159 8376775.105566664)
248100.0	POINT (3373772.379249379 8378819.337727429)
91408.0	POINT (3374722.411843822 8403448.237142956)
98411.0	POINT (3374342.008408591 8402405.587926837)
304105.0	POINT (3368620.272564991 8370102.664781154)
199151.0	POINT (3383727.066894224 8386615.591273838)
226653.0	POINT (3394828.753981486 8382279.354760255)
107911.0	POINT (3368871.280283535 8400839.536923978)
206123.0	POINT (3380255.518146107 8385417.87199914)
290840.0	POINT (3379836.650442694 8372158.700164878)
220152.0	POINT (3381750.891968357 8383276.461666223)
313804.0	POINT (3383059.437732612 8368521.106873438)
132240.0	POINT (3381077.982622735 8397053.938044434)
209885.0	POINT (3374241.607189114 8384882.910200153)
208635.0	POINT (3376590.662122615 8385089.460556865)
204762.0	POINT (3371516.468996237 8385642.881064079)
109325.0	POINT (3382830.119581578 8400673.032908784)
206690.0	POINT (3373223.169602475 8385329.170305397)
214415.0	POINT (3381321.119363098 8384124.683175693)
105354.0	POINT (3367933.449206971 8401280.143142466)
194783.0	POINT (3392841.412052033 8387287.445911987)
130771.0	POINT (3361606.276475438 8397277.320847282)
210533.0	POINT (3375361.150525156 8384764.81946276)
343033.0	POINT (3375740.641986591 8364005.444196949)
310999.0	POINT (3357310.152165606 8368992.291990587)
234270.0	POINT (3392082.307200924 8381020.112920295)
182491.0	POINT (3373937.918657011 8389147.890477644)
207894.0	POINT (3366201.807001278 8385183.148321884)
203608.0	POINT (3383553.50480221 8385847.150415594)
135235.0	POINT (3362145.84499728 8396601.57443074)
57800.0	POINT (3390041.713578166 8408743.888105495)
157657.0	POINT (3374799.377516367 8393023.066875016)
273607.0	POINT (3376407.514286985 8374853.501629585)
199177.0	POINT (3386293.624416687 8386561.462691385)
211301.0	POINT (3388472.533508631 8384663.348888043)
208621.0	POINT (3375181.351803198 8385050.852395691)
150716.0	POINT (3381380.176167472 8394202.82656271)
211207.0	POINT (3379045.256894607 8384642.858628486)
202770.0	POINT (3363426.034870847 8386013.698126541)
296466.0	POINT (3369173.444451059 8371228.535882438)
351812.0	POINT (3361848.530674879 8362567.780549848)
252150.0	POINT (3396546.234255143 8378229.229132327)
236044.0	POINT (3378456.719095745 8380792.319244975)
298599.0	POINT (3391274.270687651 8370981.921351818)
303566.0	POINT (3378416.252846709 8370158.496963759)
150555.0	POINT (3365298.412976545 8394165.118455613)
206767.0	POINT (3380895.598516734 8385405.86971679)
339783.0	POINT (3369209.623285567 8364422.828665885)
213715.0	POINT (3375036.642031141 8384305.147777326)
289018.0	POINT (3388750.832235614 8372453.352528911)
219451.0	POINT (3375276.478204262 8383357.057413273)
199002.0	POINT (3368779.373453651 8386536.103354921)
355984.0	POINT (3396806.003351946 8361982.031976822)
300344.0	POINT (3374711.51141702 8370689.845052021)
239975.0	POINT (3389294.183916954 8380169.484617457)
75506.0	POINT (3377056.678906923 8405941.48749919)
211842.0	POINT (3378847.108200994 8384569.538510126)
110408.0	POINT (3363756.90344812 8400484.715132749)
58294.0	POINT (3375751.802967793 8408637.247213101)
195278.0	POINT (3378618.727159698 8387124.780998)
197139.0	POINT (3373588.37545592 8386913.921666318)
102812.0	POINT (3368525.314790691 8401684.844051065)
149374.0	POINT (3374668.523558878 8394347.887485737)
205450.0	POINT (3376661.906596723 8385558.310605517)
151289.0	POINT (3375009.945268407 8394098.523071881)
188141.0	POINT (3365633.484643834 8388280.896790269)
204192.0	POINT (3378211.033005458 8385761.516304353)
75467.0	POINT (3373117.045670616 8405951.260035107)
92124.0	POINT (3382598.223081894 8403364.915774612)
224580.0	POINT (3378597.864551289 8382607.637674397)
163383.0	POINT (3374155.199274908 8392213.739398094)
97233.0	POINT (3383925.372258887 8402539.508552052)
192635.0	POINT (3369126.839010029 8387595.153762389)
216310.0	POINT (3379746.771575633 8383818.561158356)
158929.0	POINT (3374657.774604508 8392876.474680724)
221325.0	POINT (3371638.39344964 8383117.215717418)
183339.0	POINT (3394990.008134189 8389027.994756246)
236045.0	POINT (3378474.187906837 8380766.779758034)
123708.0	POINT (3356015.772897486 8398404.867519312)
113048.0	POINT (3372904.539823977 8400069.028219933)
176158.0	POINT (3377649.967599013 8390166.145203114)
204158.0	POINT (3374871.889184767 8385738.303618702)
208580.0	POINT (3371088.139692704 8385058.353078007)
212488.0	POINT (3379722.821532279 8384516.462109442)
209865.0	POINT (3372187.30596256 8384835.956182678)
115584.0	POINT (3371682.213855121 8399664.29497827)
308723.0	POINT (3384508.919360075 8369382.068438035)
159474.0	POINT (3365460.939433104 8392750.341288669)
310118.0	POINT (3396598.784713579 8369209.659810695)
213735.0	POINT (3376989.185899655 8384278.487053396)
298896.0	POINT (3357298.994368141 8370847.085239645)
209888.0	POINT (3374573.552949441 8384878.376670635)
314374.0	POINT (3376347.442950168 8368482.980465072)
289036.0	POINT (3390512.359260673 8372448.971704526)
285001.0	POINT (3369179.010425599 8373076.189447979)
164632.0	POINT (3371673.147517117 8392011.780794051)
287605.0	POINT (3374810.091393967 8372690.220394222)
187583.0	POINT (3373527.798361261 8388416.976171295)
202904.0	POINT (3376814.908557649 8385959.536609183)
199072.0	POINT (3375839.03292078 8386596.552983048)
212411.0	POINT (3372037.450046291 8384433.453860144)
137188.0	POINT (3366368.193283069 8396265.540357256)
206079.0	POINT (3375868.226613086 8385428.044582082)
239211.0	POINT (3376612.890465328 8380277.502621923)
130761.0	POINT (3360582.086398453 8397295.976593047)
152551.0	POINT (3373796.906695799 8393888.942264913)
115648.0	POINT (3378133.55026501 8399682.230283288)
247652.0	POINT (3392617.329212123 8378994.902306721)
76192.0	POINT (3381888.520663077 8405854.651362689)
354558.0	POINT (3381619.564212852 8362126.20830187)
229616.0	POINT (3372609.506437943 8381763.18606614)
132299.0	POINT (3387018.292783693 8397100.535421444)
105357.0	POINT (3368267.303796002 8401220.814723995)
309239.0	POINT (3372419.496590602 8369315.682600385)
326902.0	POINT (3355141.251497385 8366453.149478933)
189495.0	POINT (3373590.443649607 8388100.027446445)
187584.0	POINT (3373668.525489292 8388325.355523546)
171001.0	POINT (3371478.871105388 8390946.671972502)
195883.0	POINT (3375412.277518998 8387035.024891105)
109350.0	POINT (3385290.280328109 8400626.272934025)
339242.0	POINT (3378825.957497743 8364553.780543858)
334826.0	POINT (3383086.688743958 8365239.886729553)
223229.0	POINT (3370968.471240101 8382731.885803225)
210576.0	POINT (3379575.438233408 8384790.167616682)
199166.0	POINT (3385202.501525507 8386608.638367753)
162042.0	POINT (3367412.977521511 8392320.216156958)
196588.0	POINT (3382188.919314609 8386951.70456287)
256999.0	POINT (3371847.338619913 8377418.777813558)
216809.0	POINT (3365942.7590544 8383766.136375472)
315463.0	POINT (3357774.748802642 8368239.554306907)
195257.0	POINT (3376536.610320471 8387132.472466608)
94522.0	POINT (3367585.364302341 8402981.988103194)
207950.0	POINT (3371834.598727582 8385205.250657475)
201743.0	POINT (3388087.739131744 8386151.637546874)
111023.0	POINT (3361519.594937924 8400356.629538691)
109197.0	POINT (3370027.191597031 8400690.237136075)
208591.0	POINT (3372223.598498795 8385080.572692369)
350556.0	POINT (3363631.553693986 8362765.388050366)
100241.0	POINT (3366252.421012644 8402064.834753092)
160116.0	POINT (3365947.157020315 8392690.456072381)
211161.0	POINT (3374386.418061533 8384626.745314588)
206075.0	POINT (3375440.442374309 8385511.276289091)
174226.0	POINT (3375490.123149854 8390434.55799133)
175514.0	POINT (3376890.30591668 8390313.435548378)
327574.0	POINT (3358635.315703447 8366340.965576198)
228384.0	POINT (3376853.083662321 8381938.721428569)
170376.0	POINT (3372710.431248645 8391088.419077666)
104086.0	POINT (3368493.037403773 8401426.606528198)
211138.0	POINT (3372153.986224458 8384709.753030336)
306067.0	POINT (3373735.796581156 8369783.3601563)
194641.0	POINT (3378647.170402791 8387264.121644436)
134709.0	POINT (3373196.53365358 8396628.947217632)
132863.0	POINT (3379763.601568697 8396950.97710808)
316776.0	POINT (3361767.358728583 8368099.892774963)
326473.0	POINT (3375881.556966261 8366557.124446824)
65931.0	POINT (3374992.345668045 8407492.334928507)
213127.0	POINT (3379882.379465372 8384391.79579616)
313922.0	POINT (3394781.057041718 8368608.632040869)
158843.0	POINT (3366021.50961253 8392868.230388213)
322392.0	POINT (3349987.530212839 8367188.822462918)
223883.0	POINT (3372610.296216335 8382673.551210018)
242566.0	POINT (3393588.023995363 8379774.836945893)
220765.0	POINT (3379328.008401222 8383214.358573494)
210479.0	POINT (3369942.512997719 8384723.100846464)
193894.0	POINT (3367608.223180914 8387395.962411781)
266585.0	POINT (3374880.729900427 8376007.982820608)
193928.0	POINT (3371051.404260742 8387329.544183496)
